ID,Binomial,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,Markup_1,Markup_2,Markup_3,Markup_4
Struthio_camelus_1,Struthio_camelus,Ostrich,Tring,1926.10.27.1,U,Struthio,camelus,massaicus,,https://www.markmybird.org/gallery/struthio_camelus/3598,5_Jen,40_chris13,41_Emma,44_Chris
Rhea_americana_2,Rhea_americana,Greater Rhea,Tring,1910.7.2.131,M,Rhea,americana,,,https://www.markmybird.org/gallery/rhea_americana/423,36_zoe,43_elliot,44_Chris,677_Eleanor
Casuarius_casuarius_1,Casuarius_casuarius,Southern Cassowary,Tring,1996.41.888,M,Casuarius,casuarius,,,https://www.markmybird.org/gallery/casuarius_casuarius/635,5_Jen,40_chris13,44_Chris,41_Emma
Dromaius_novaehollandiae_1,Dromaius_novaehollandiae,Emu,Tring,1996.4.1.922,M,Dromaius,novaehollandiae,novaehollandiae,,https://www.markmybird.org/gallery/dromaius_novaehollandiae/164,104_oldbilluk,175_JohnF,363_Peregrin3,44_Chris
Apteryx_haastii_4,Apteryx_haastii,Great Spotted Kiwi,Tring,1939.12.9.1263,M,Apteryx,haastii,,,https://www.markmybird.org/gallery/apteryx_haastii/51,50_kathrynross27,56_hughbrazier,43_elliot,44_Chris
Tinamus_guttatus_1,Tinamus_guttatus,White-throated Tinamou,Tring,69.5.25.142,M,Tinamus,guttatus,,Y,https://www.markmybird.org/gallery/tinamus_guttatus/488,592_angelaMc,72_Steph,363_Peregrin3,43_elliot
Nothocercus_bonapartei_1,Nothocercus_bonapartei,Highland Tinamou,Tring,99.6.30.808,F,Nothocercus,bonapartei,frantzii,Y,https://www.markmybird.org/gallery/nothocercus_bonapartei/1086,147_EllenB75,44_Chris,36_zoe,43_elliot
Crypturellus_variegatus_1,Crypturellus_variegatus,Variegated Tinamou,Tring,1933.10.21.4,M,Crypturellus,variegatus,,Y,https://www.markmybird.org/gallery/crypturellus_variegatus/736,48_okeeffeml,43_elliot,363_Peregrin3,44_Chris
Nothoprocta_perdicaria_1,Nothoprocta_perdicaria,Chilean Tinamou,Tring,1946.49.138,M,Nothoprocta,perdicaria,,,https://www.markmybird.org/gallery/nothoprocta_perdicaria/307,592_angelaMc,44_Chris,43_elliot,396_Arasevera
Nothura_darwinii_1,Nothura_darwinii,Darwin's Nothura,Tring,1904.7.9.1,M,Nothura,darwinii,salvadorii,Y,https://www.markmybird.org/gallery/nothura_darwinii/1713,465_JSquirrell,36_zoe,485_oharar,44_Chris
Taoniscus_nanus_1,Taoniscus_nanus,Dwarf Tinamou,Tring,1939.12.9.292,M,Taoniscus,nanus,,Y,https://www.markmybird.org/gallery/taoniscus_nanus/1575,40_chris13,41_Emma,5_Jen,
Eudromia_elegans_1,Eudromia_elegans,Elegant Crested-tinamou,Tring,92.6.9.106,M,Eudromia,elegans,multiguttata,Y,https://www.markmybird.org/gallery/eudromia_elegans/802,485_oharar,40_chris13,44_Chris,484_Theivaprakasham
Tinamotis_pentlandii_1,Tinamotis_pentlandii,Puna Tinamou,Tring,1946.49.135,M,Tinamotis,pentlandii,,Y,https://www.markmybird.org/gallery/tinamotis_pentlandii/1485,36_zoe,465_JSquirrell,52_grrlscientist,44_Chris
Ortalis_vetula_1,Ortalis_vetula,Plain Chachalaca,Tring,1891.10.21.271,M,Ortalis,vetula,vetula,Y,https://www.markmybird.org/gallery/ortalis_vetula/323,175_JohnF,227_Zeb,44_Chris,43_elliot
Penelope_argyrotis_1,Penelope_argyrotis,Band-tailed Guan,Tring,1914.11.26.29,U,Penelope,argyrotis,,Y,https://www.markmybird.org/gallery/penelope_argyrotis/1147,147_EllenB75,43_elliot,4_gavin,
Pipile_cumanensis_1,Pipile_cumanensis,Blue-throated Piping-guan,Tring,1940.12.5.43,M,Aburria,pipile,cumanensis,Y,https://www.markmybird.org/gallery/pipile_cumanensis/362,183_ThomasG,43_elliot,44_Chris,36_zoe
Aburria_aburri_1,Aburria_aburri,Wattled Guan,Tring,1950.64.59,M,Aburria,aburri,,Y,https://www.markmybird.org/gallery/aburria_aburri/516,278_I,43_elliot,363_Peregrin3,36_zoe
Chamaepetes_unicolor_1,Chamaepetes_unicolor,Black Guan,Tring,1889.6.1.275,U,Chamaepetes,unicolor,,Y,https://www.markmybird.org/gallery/chamaepetes_unicolor/658,4_gavin,369_Gepwin,56_hughbrazier,43_elliot
Penelopina_nigra_1,Penelopina_nigra,Highland Guan,Tring,89.5.13.585,U,Penelopina,nigra,,,https://www.markmybird.org/gallery/penelopina_nigra/1149,147_EllenB75,43_elliot,44_Chris,677_Eleanor
Oreophasis_derbianus_1,Oreophasis_derbianus,Horned Guan,Tring,1891.10.21.294,U,Oreophasis,derbianus,,,https://www.markmybird.org/gallery/oreophasis_derbianus/316,190_Pardalotus,200_drmtbishop,44_Chris,43_elliot
Nothocrax_urumutum_1,Nothocrax_urumutum,Nocturnal Curassow,Tring,1889.6.1.166,F,Nothocrax,urumutum,,Y,https://www.markmybird.org/gallery/nothocrax_urumutum/1087,147_EllenB75,44_Chris,396_Arasevera,35_Lara
Mitu_tomentosum_1,Mitu_tomentosum,Crestless Curassow,Tring,95.11.28.57,M,Mitu,tomentosa,,Y,https://www.markmybird.org/gallery/mitu_tomentosum/1028,40_chris13,41_Emma,5_Jen,44_Chris
Crax_rubra_1,Crax_rubra,Great Curassow,Tring,89.5.13.583,M,Crax,rubra,,Y,https://www.markmybird.org/gallery/crax_rubra/147,56_hughbrazier,175_JohnF,44_Chris,43_elliot
Alectura_lathami_1,Alectura_lathami,Australian Brush-turkey,Tring,1925.11.1.554,M,Alectura,lathami,lathami,Y,https://www.markmybird.org/gallery/alectura_lathami/533,485_oharar,43_elliot,363_Peregrin3,40_chris13
Aepypodius_arfakianus_1,Aepypodius_arfakianus,Wattled Brush-turkey,Tring,1913.3.6.2,M,Aepypodius,arfakianus,,Y,https://www.markmybird.org/gallery/aepypodius_arfakianus/521,278_I,43_elliot,147_EllenB75,44_Chris
Talegalla_cuvieri_1,Talegalla_cuvieri,Red-billed Brush-turkey,Tring,1911.12.20.3,M,Talegalla,cuvieri,,Y,https://www.markmybird.org/gallery/talegalla_cuvieri/1455,43_elliot,44_Chris,52_grrlscientist,36_zoe
Macrocephalon_maleo_1,Macrocephalon_maleo,Maleo,Tring,73.5.12.2191,M,Macrocephalon,maleo,,Y,https://www.markmybird.org/gallery/macrocephalon_maleo/974,696_RichardParker,40_chris13,41_Emma,5_Jen
